[2024-08-26 10:35:29.706] [bm] [info] Params: run_name          sampleN20
[2024-08-26 10:35:29.706] [bm] [info] Params: input_data        ../Data/sampleN20.dat
[2024-08-26 10:35:29.706] [bm] [info] Params: input_init_guess  ../Results_Metropolis/sampleN20_j_min_7.05e-04_h_min_5.80e-04_t_eq_3000
[2024-08-26 10:35:29.706] [bm] [info] Params: output_data       ../Results_Metropolis/sampleN20_j_min_7.05e-04_h_min_5.80e-04_t_eq_3000.json
[2024-08-26 10:35:29.706] [bm] [info] Params: output_err        ../Results_Metropolis/err_sampleN20_j_min_7.05e-04_h_min_5.80e-04_t_eq_3000.txt
[2024-08-26 10:35:29.706] [bm] [info] Params: use_exact         false
[2024-08-26 10:35:29.706] [bm] [info] Params: iter_display      100
[2024-08-26 10:35:29.706] [bm] [info] Params: iter_max          150000
[2024-08-26 10:35:29.706] [bm] [info] Params: eta_J             0.05
[2024-08-26 10:35:29.706] [bm] [info] Params: eta_h             0.03
[2024-08-26 10:35:29.706] [bm] [info] Params: min_err_S         0.00058
[2024-08-26 10:35:29.706] [bm] [info] Params: min_err_SS        0.000705
[2024-08-26 10:35:29.706] [bm] [info] Params: n_rep             40
[2024-08-26 10:35:29.706] [bm] [info] Params: t_eq              9000
[2024-08-26 10:35:29.706] [bm] [info] Params: t_meas            270000
[2024-08-26 10:35:29.711] [bm] [info] read_tidy_data: read from ../Data/sampleN20.dat
[2024-08-26 11:31:24.869] [bm] [info] main: sampleN20 iter=7200 err_S=1.441290E-03 err_SS=1.430115E-03
[2024-08-26 11:32:10.242] [bm] [info] main: sampleN20 iter=7300 err_S=1.137632E-03 err_SS=1.486828E-03
[2024-08-26 11:32:55.645] [bm] [info] main: sampleN20 iter=7400 err_S=1.200467E-03 err_SS=1.143390E-03
[2024-08-26 11:33:41.071] [bm] [info] main: sampleN20 iter=7500 err_S=8.419754E-04 err_SS=1.590433E-03
[2024-08-26 11:34:26.493] [bm] [info] main: sampleN20 iter=7600 err_S=1.094079E-03 err_SS=1.477956E-03
[2024-08-26 11:35:11.954] [bm] [info] main: sampleN20 iter=7700 err_S=7.741683E-04 err_SS=9.460907E-04
[2024-08-26 11:35:57.438] [bm] [info] main: sampleN20 iter=7800 err_S=7.839031E-04 err_SS=8.967034E-04
[2024-08-26 11:36:42.822] [bm] [info] main: sampleN20 iter=7900 err_S=1.785697E-03 err_SS=1.999126E-03
[2024-08-26 11:37:28.248] [bm] [info] main: sampleN20 iter=8000 err_S=9.757645E-04 err_SS=9.180422E-04
[2024-08-26 11:38:13.599] [bm] [info] main: sampleN20 iter=8100 err_S=1.300870E-03 err_SS=1.444035E-03
[2024-08-26 11:38:58.963] [bm] [info] main: sampleN20 iter=8200 err_S=8.798046E-04 err_SS=1.223072E-03
[2024-08-26 11:39:44.380] [bm] [info] main: sampleN20 iter=8300 err_S=1.085494E-03 err_SS=1.486932E-03
[2024-08-26 11:40:29.820] [bm] [info] main: sampleN20 iter=8400 err_S=1.268651E-03 err_SS=2.033057E-03
[2024-08-26 11:41:15.217] [bm] [info] main: sampleN20 iter=8500 err_S=1.242071E-03 err_SS=1.651618E-03
[2024-08-26 11:42:00.607] [bm] [info] main: sampleN20 iter=8600 err_S=1.015712E-03 err_SS=1.177846E-03
[2024-08-26 11:42:46.025] [bm] [info] main: sampleN20 iter=8700 err_S=1.053963E-03 err_SS=1.536927E-03
[2024-08-26 11:43:31.460] [bm] [info] main: sampleN20 iter=8800 err_S=1.161240E-03 err_SS=1.251436E-03
[2024-08-26 11:44:16.839] [bm] [info] main: sampleN20 iter=8900 err_S=1.208020E-03 err_SS=1.467123E-03
[2024-08-26 11:45:02.213] [bm] [info] main: sampleN20 iter=9000 err_S=1.248051E-03 err_SS=1.759230E-03
[2024-08-26 11:45:47.649] [bm] [info] main: sampleN20 iter=9100 err_S=1.291350E-03 err_SS=1.433059E-03
[2024-08-26 11:46:33.032] [bm] [info] main: sampleN20 iter=9200 err_S=1.523746E-03 err_SS=1.694176E-03
[2024-08-26 11:47:18.471] [bm] [info] main: sampleN20 iter=9300 err_S=1.154870E-03 err_SS=1.331825E-03
[2024-08-26 11:48:03.876] [bm] [info] main: sampleN20 iter=9400 err_S=9.580638E-04 err_SS=1.115544E-03
[2024-08-26 11:48:49.285] [bm] [info] main: sampleN20 iter=9500 err_S=1.264067E-03 err_SS=1.423539E-03
[2024-08-26 11:49:34.664] [bm] [info] main: sampleN20 iter=9600 err_S=1.084442E-03 err_SS=1.411677E-03
[2024-08-26 11:50:20.025] [bm] [info] main: sampleN20 iter=9700 err_S=7.281001E-04 err_SS=1.054998E-03
[2024-08-26 11:51:05.401] [bm] [info] main: sampleN20 iter=9800 err_S=9.865525E-04 err_SS=1.137767E-03
[2024-08-26 11:51:50.792] [bm] [info] main: sampleN20 iter=9900 err_S=1.535759E-03 err_SS=1.851738E-03
[2024-08-26 11:52:36.172] [bm] [info] main: sampleN20 iter=10000 err_S=8.653998E-04 err_SS=1.397423E-03
[2024-08-26 11:53:21.559] [bm] [info] main: sampleN20 iter=10100 err_S=1.033842E-03 err_SS=1.194250E-03
[2024-08-26 11:54:06.956] [bm] [info] main: sampleN20 iter=10200 err_S=1.051228E-03 err_SS=1.260550E-03
