inter erroJ erroh
309 0.001235442868115 0.001515628718027
310 0.001565820391035 0.001825251613125
311 0.002920521885262 0.002512551476755
312 0.001707246005421 0.002362819501881
313 0.002031343395803 0.002362352662291
314 0.001488422820178 0.00232354418895
315 0.001692290705404 0.001927890378342
316 0.001209210631313 0.001957045812022
317 0.001361652554916 0.001741042075077
318 0.003923503713831 0.002995451345524
319 0.002414446832235 0.002054279992951
320 0.001800510718844 0.001857539338004
321 0.00154746414585 0.001420876433567
322 0.0012682830306 0.001599988560713
323 0.001452498200409 0.002133435286718
324 0.001412341494588 0.00151971108202
325 0.002492193810208 0.002395180745955
326 0.002084744005007 0.002289507889312
327 0.001412269801048 0.001843370355616
328 0.001539715400104 0.001851904698389
329 0.001649804542183 0.001612467031774
330 0.001304102587452 0.001603867657103
331 0.001085125632776 0.001449747673532
332 0.00191622984783 0.002574798933578
333 0.002001963186906 0.002301590132619
334 0.001424348688355 0.002465704746014
335 0.001400081977749 0.001550128870859
336 0.001730163426917 0.002263600423839
337 0.001199127901629 0.001717844065502
338 0.001547882090818 0.001724853327146
339 0.002454858564887 0.00232607033531
340 0.00167841495412 0.00183789548678
341 0.001339472240936 0.002002390491638
342 0.001506343903112 0.001421871921539
343 0.001553559259962 0.001776889785391
344 0.001409882724909 0.001884140227815
345 0.001320995686185 0.002033544677926
346 0.001175443977608 0.001714834668274
347 0.00333198131774 0.002483901034446
348 0.002100180221363 0.002436476274985
349 0.002083799389292 0.002546490968214
350 0.001407653979251 0.001626719719144
351 0.001678606540536 0.001803495049734
352 0.001616986095689 0.001869912999722
353 0.001336316306764 0.001636917800829
354 0.00225753144339 0.002183669893745
355 0.001886619397461 0.002248183066526
356 0.001918025544624 0.002363104066398
357 0.001194512728711 0.001923226990123
358 0.00176546287867 0.002106216239251
359 0.001667084587361 0.001506970675523
360 0.001365341555351 0.001974149681117
